Name;Metric;Value;Agrupation
1) Average time from SW-Reviewer Agreed to SW-Awaiting AE Recommendation;The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation';67.41 days;
2) Average time between SW-Awaiting AE Recommendation and SW-Awaiting EIC Decision;The average of the duration between activity 'SW-Awaiting AE Recommendation' and activity 'SW-Awaiting EIC Decision';3.75 days;
3) Average time until SW-Awaiting AE Recommendation is performed;The average of the duration between the start of the case and activity 'SW-Awaiting AE Recommendation';56.38 days;
4) Average time to SW-Awaiting AE Recommendation grouped by sender;The average of the duration between the start of the case and activity 'SW-Awaiting AE Recommendation';catarci@diag.uniroma1.it:NaT;"{""catarci@diag.uniroma1.it"":null,""clcabanban@ched.gov.ph"":null,""gleb@intentionalinsights.org"":null,""marrella@diag.uniroma1.it"":7656322500,""onbehalfof@manuscriptcentral.com"":4707094941}"
5) Average time for SW-Awaiting AE Recommendation;The average of the duration between activity SW-Awaiting AE Recommendation and the end of the case;64.18 days;
6) Average time since the SW-Reviewer Agreed and SW-Awaiting AE Recommendation are performed;The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation';67.41 days;
7) Average waiting time to the SW-Awaiting AE Recommendation;The average of the duration between the start of the case and activity 'SW-Awaiting AE Recommendation';56.38 days;
8) Average time it takes SW-Awaiting AE Recommendation after the execution of SW-Reviewer Agreed;The average of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation';67.41 days;
9) Average time it takes the SW-Awaiting AE Recommendation to be done;The average of the duration between activity SW-Awaiting AE Recommendation and the end of the case;64.18 days;
10) Total time from SW-Reviewer Agreed to SW-Awaiting AE Recommendation;The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation';1617.84 days;
11) Total time between SW-Awaiting AE Recommendation and SW-Awaiting EIC Decision;The sum of the duration between activity 'SW-Awaiting AE Recommendation' and activity 'SW-Awaiting EIC Decision';131.10 days;
12) Total time until SW-Awaiting AE Recommendation is performed;The sum of the duration between the start of the case and activity 'SW-Awaiting AE Recommendation';2029.56 days;
13) Total time to SW-Awaiting AE Recommendation grouped by sender;The sum of the duration between the start of the case and activity 'SW-Awaiting AE Recommendation';catarci@diag.uniroma1.it:NaT;"{""catarci@diag.uniroma1.it"":null,""clcabanban@ched.gov.ph"":null,""gleb@intentionalinsights.org"":null,""marrella@diag.uniroma1.it"":15312645000,""onbehalfof@manuscriptcentral.com"":160041228000}"
14) Total time for SW-Awaiting AE Recommendation;The sum of the duration between activity SW-Awaiting AE Recommendation and the end of the case;2310.65 days;
15) Total time since the SW-Reviewer Agreed and SW-Awaiting AE Recommendation are performed;The sum of the duration between activity 'SW-Reviewer Agreed' and activity 'SW-Awaiting AE Recommendation';1617.84 days;
16) Total waiting time to the SW-Awaiting AE Recommendation;The sum of the duration between the start of the case and activity 'SW-Awaiting AE Recommendation';2029.56 days;
